### HY Dickens run | model=hy-mt1.5-7b host=http://localhost:1234 | workers=4 | pending atoms=2685
cache warm with 978 blocks
[1/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_43_ANOTHER_RETROSPECT/part_02.md | blocks 21 | 0m | 57 blk/min | 1 links to repair
[14/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_45_MR_DICK_FULFILS_MY_AUNTS_PREDI/part_05.md | blocks 342 | 9m | 39 blk/min | 11 links to repair
[15/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_46_INTELLIGENCE/part_02.md | blocks 368 | 11m | 35 blk/min | 5 links to repair
[16/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_46_INTELLIGENCE/part_03.md | blocks 393 | 11m | 35 blk/min | 6 links to repair
[17/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_46_INTELLIGENCE/part_01.md | blocks 422 | 11m | 38 blk/min | 9 links to repair
[18/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_46_INTELLIGENCE/part_04.md | blocks 454 | 11m | 40 blk/min | 6 links to repair
[19/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_46_INTELLIGENCE/part_05.md | blocks 487 | 13m | 38 blk/min | 7 links to repair
[20/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_47_MARTHA/part_02.md | blocks 514 | 14m | 36 blk/min | 14 links to repair
[21/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_47_MARTHA/part_03.md | blocks 541 | 15m | 37 blk/min | 8 links to repair
[22/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_47_MARTHA/part_01.md | blocks 558 | 15m | 37 blk/min | 21 links to repair
[23/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_47_MARTHA/part_04.md | blocks 593 | 16m | 37 blk/min | 11 links to repair
[24/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_48_DOMESTIC/part_02.md | blocks 618 | 17m | 37 blk/min | 10 links to repair
[25/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_48_DOMESTIC/part_01.md | blocks 630 | 17m | 37 blk/min | 14 links to repair
[26/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_48_DOMESTIC/part_03.md | blocks 663 | 18m | 37 blk/min | 7 links to repair
[27/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_49_I_AM_INVOLVED_IN_MYSTERY/part_02.md | blocks 683 | 19m | 35 blk/min | 11 links to repair
[28/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_49_I_AM_INVOLVED_IN_MYSTERY/part_01.md | blocks 702 | 20m | 36 blk/min | 8 links to repair
[29/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_48_DOMESTIC/part_04.md | blocks 728 | 20m | 36 blk/min | 12 links to repair
[30/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_49_I_AM_INVOLVED_IN_MYSTERY/part_03.md | blocks 754 | 21m | 36 blk/min | 11 links to repair
[31/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_49_I_AM_INVOLVED_IN_MYSTERY/part_05.md | blocks 766 | 21m | 36 blk/min | 9 links to repair
[32/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_49_I_AM_INVOLVED_IN_MYSTERY/part_04.md | blocks 791 | 22m | 36 blk/min | 13 links to repair
[33/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_50_Mr_PEGGOTTYS_DREAM_COMES_TRUE/part_01.md | blocks 811 | 23m | 36 blk/min | 18 links to repair
[34/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_50_Mr_PEGGOTTYS_DREAM_COMES_TRUE/part_02.md | blocks 832 | 23m | 35 blk/min | 7 links to repair
[35/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_50_Mr_PEGGOTTYS_DREAM_COMES_TRUE/part_03.md | blocks 854 | 24m | 35 blk/min | 16 links to repair
[36/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_50_Mr_PEGGOTTYS_DREAM_COMES_TRUE/part_04.md | blocks 871 | 25m | 35 blk/min | 11 links to repair
[37/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_51_THE_BEGINNING_OF_A_LONGER_Jour/part_01.md | blocks 891 | 27m | 33 blk/min | 19 links to repair
[38/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_51_THE_BEGINNING_OF_A_LONGER_Jour/part_03.md | blocks 916 | 27m | 34 blk/min | 17 links to repair
[39/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_51_THE_BEGINNING_OF_A_LONGER_Jour/part_04.md | blocks 943 | 27m | 35 blk/min | 5 links to repair
[40/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_51_THE_BEGINNING_OF_A_LONGER_Jour/part_02.md | blocks 955 | 28m | 34 blk/min | 19 links to repair
[41/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_51_THE_BEGINNING_OF_A_LONGER_Jour/part_07.md | blocks 967 | 29m | 33 blk/min | 3 links to repair
[42/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_51_THE_BEGINNING_OF_A_LONGER_Jour/part_05.md | blocks 986 | 30m | 33 blk/min | 15 links to repair
[43/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_51_THE_BEGINNING_OF_A_LONGER_Jour/part_06.md | blocks 1016 | 30m | 34 blk/min | 10 links to repair
[44/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_52_I_ASSIST_AT_AN_EXPLOSION/part_01.md | blocks 1036 | 31m | 34 blk/min | 12 links to repair
[45/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_52_I_ASSIST_AT_AN_EXPLOSION/part_02.md | blocks 1072 | 31m | 34 blk/min | 11 links to repair
[46/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_52_I_ASSIST_AT_AN_EXPLOSION/part_03.md | blocks 1101 | 32m | 34 blk/min | 8 links to repair
[47/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_52_I_ASSIST_AT_AN_EXPLOSION/part_05.md | blocks 1126 | 33m | 34 blk/min | 8 links to repair
[48/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_52_I_ASSIST_AT_AN_EXPLOSION/part_04.md | blocks 1149 | 33m | 34 blk/min | 8 links to repair
[49/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_52_I_ASSIST_AT_AN_EXPLOSION/part_06.md | blocks 1167 | 34m | 34 blk/min | 12 links to repair
[50/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_52_I_ASSIST_AT_AN_EXPLOSION/part_09.md | blocks 1179 | 34m | 34 blk/min | 4 links to repair
[51/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_52_I_ASSIST_AT_AN_EXPLOSION/part_08.md | blocks 1205 | 35m | 34 blk/min | 11 links to repair
[52/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_52_I_ASSIST_AT_AN_EXPLOSION/part_07.md | blocks 1241 | 35m | 35 blk/min | 5 links to repair
[53/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_54_Mr_MICAWBERS_TRANSACTIONS/part_03.md | blocks 1265 | 37m | 34 blk/min | 9 links to repair
[54/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_54_Mr_MICAWBERS_TRANSACTIONS/part_01.md | blocks 1283 | 38m | 34 blk/min | 9 links to repair
[55/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_54_Mr_MICAWBERS_TRANSACTIONS/part_02.md | blocks 1301 | 38m | 34 blk/min | 13 links to repair
[56/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_53_ANOTHER_RETROSPECT.md | blocks 1365 | 39m | 35 blk/min | 38 links to repair
[57/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_54_Mr_MICAWBERS_TRANSACTIONS/part_06.md | blocks 1397 | 40m | 35 blk/min | 13 links to repair
[58/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_54_Mr_MICAWBERS_TRANSACTIONS/part_04.md | blocks 1429 | 40m | 35 blk/min | 11 links to repair
[59/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_54_Mr_MICAWBERS_TRANSACTIONS/part_05.md | blocks 1451 | 41m | 35 blk/min | 9 links to repair
[60/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_55_TEMPEST/part_01.md | blocks 1477 | 42m | 35 blk/min | 18 links to repair
[61/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_55_TEMPEST/part_03.md | blocks 1498 | 44m | 34 blk/min | 9 links to repair
[62/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_55_TEMPEST/part_02.md | blocks 1509 | 44m | 34 blk/min | 21 links to repair
[63/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_56_THE_NEW_WOUND_AND_THE_OLD/part_01.md | blocks 1541 | 45m | 34 blk/min | 7 links to repair
[64/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_55_TEMPEST/part_04.md | blocks 1564 | 46m | 34 blk/min | 18 links to repair
[65/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_56_THE_NEW_WOUND_AND_THE_OLD/part_02.md | blocks 1598 | 47m | 34 blk/min | 14 links to repair
[66/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_57_THE_EMIGRANTS/part_01.md | blocks 1621 | 47m | 34 blk/min | 11 links to repair
[67/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_57_THE_EMIGRANTS/part_02.md | blocks 1645 | 48m | 34 blk/min | 6 links to repair
[68/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_57_THE_EMIGRANTS/part_03.md | blocks 1667 | 48m | 35 blk/min | 14 links to repair
[69/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_58_ABSENCE/part_03.md | blocks 1674 | 49m | 34 blk/min | 10 links to repair
[70/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_57_THE_EMIGRANTS/part_04.md | blocks 1691 | 50m | 34 blk/min | 15 links to repair
[71/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_58_ABSENCE/part_02.md | blocks 1707 | 50m | 34 blk/min | 17 links to repair
[72/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_58_ABSENCE/part_01.md | blocks 1722 | 52m | 33 blk/min | 20 links to repair
REJECT Authors/Dickens/Atomized/David_Copperfield/Chapter_59_RETURN/part_01.md: invented wikilink targets: ['L01']
[74/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_59_RETURN/part_02.md | blocks 1760 | 52m | 34 blk/min | 11 links to repair
[75/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_59_RETURN/part_03.md | blocks 1788 | 52m | 34 blk/min | 8 links to repair
[76/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_59_RETURN/part_05.md | blocks 1823 | 54m | 34 blk/min | 17 links to repair
[77/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_59_RETURN/part_06.md | blocks 1844 | 55m | 33 blk/min | 8 links to repair
[78/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_59_RETURN/part_04.md | blocks 1853 | 56m | 33 blk/min | 23 links to repair
[79/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_60_AGNES/part_01.md | blocks 1885 | 56m | 34 blk/min | 22 links to repair
[80/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_60_AGNES/part_02.md | blocks 1920 | 57m | 34 blk/min | 8 links to repair
[81/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_60_AGNES/part_03.md | blocks 1956 | 58m | 34 blk/min | 16 links to repair
[82/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_61_I_AM_SHOWN_TWO_INTERESTING_PEN/part_01.md | blocks 1977 | 58m | 34 blk/min | 8 links to repair
[83/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_61_I_AM_SHOWN_TWO_INTERESTING_PEN/part_02.md | blocks 2001 | 59m | 34 blk/min | 4 links to repair
[84/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_61_I_AM_SHOWN_TWO_INTERESTING_PEN/part_03.md | blocks 2027 | 59m | 34 blk/min | 9 links to repair
[85/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_61_I_AM_SHOWN_TWO_INTERESTING_PEN/part_04.md | blocks 2068 | 61m | 34 blk/min | 12 links to repair
[86/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_62_A_LIGHT_SHINES_ON_MY_WAY/part_02.md | blocks 2101 | 61m | 34 blk/min | 16 links to repair
[87/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_62_A_LIGHT_SHINES_ON_MY_WAY/part_03.md | blocks 2142 | 62m | 35 blk/min | 17 links to repair
[88/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_62_A_LIGHT_SHINES_ON_MY_WAY/part_01.md | blocks 2174 | 62m | 35 blk/min | 18 links to repair
[89/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_63_A_VISITOR/part_03.md | blocks 2193 | 63m | 35 blk/min | 3 links to repair
[90/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_63_A_VISITOR/part_01.md | blocks 2220 | 64m | 35 blk/min | 13 links to repair
[91/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_63_A_VISITOR/part_02.md | blocks 2248 | 66m | 34 blk/min | 18 links to repair
[92/2685] ok Authors/Dickens/Atomized/A_Childs_History_of_England/Story_01_The_Mudfog_And_Other_Sketches/part_01.md | blocks 2259 | 67m | 34 blk/min | 21 links to repair
[93/2685] ok Authors/Dickens/Atomized/A_Childs_History_of_England/Story_01_The_Mudfog_And_Other_Sketches/part_02.md | blocks 2279 | 67m | 34 blk/min | 12 links to repair
[94/2685] ok Authors/Dickens/Atomized/A_Childs_History_of_England/Story_01_The_Mudfog_And_Other_Sketches/part_03.md | blocks 2301 | 68m | 34 blk/min | 15 links to repair
[95/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_64_A_LAST_RETROSPECT.md | blocks 2338 | 68m | 34 blk/min | 24 links to repair
[96/2685] ok Authors/Dickens/Atomized/A_Childs_History_of_England/Story_01_The_Mudfog_And_Other_Sketches/part_05.md | blocks 2368 | 70m | 34 blk/min | 8 links to repair
[97/2685] ok Authors/Dickens/Atomized/A_Childs_History_of_England/Story_01_The_Mudfog_And_Other_Sketches/part_07.md | blocks 2385 | 71m | 34 blk/min | 7 links to repair
[98/2685] ok Authors/Dickens/Atomized/A_Childs_History_of_England/Story_01_The_Mudfog_And_Other_Sketches/part_04.md | blocks 2400 | 71m | 34 blk/min | 20 links to repair
[99/2685] ok Authors/Dickens/Atomized/A_Childs_History_of_England/Story_01_The_Mudfog_And_Other_Sketches/part_09.md | blocks 2417 | 72m | 33 blk/min | 5 links to repair
[100/2685] ok Authors/Dickens/Atomized/A_Childs_History_of_England/Story_01_The_Mudfog_And_Other_Sketches/part_10.md | blocks 2430 | 73m | 34 blk/min | 8 links to repair
[101/2685] ok Authors/Dickens/Atomized/A_Childs_History_of_England/Story_01_The_Mudfog_And_Other_Sketches/part_06.md | blocks 2439 | 73m | 34 blk/min | 24 links to repair
[102/2685] ok Authors/Dickens/Atomized/A_Childs_History_of_England/Story_01_The_Mudfog_And_Other_Sketches/part_08.md | blocks 2454 | 73m | 34 blk/min | 18 links to repair
[103/2685] ok Authors/Dickens/Atomized/A_Childs_History_of_England/Story_02_Great_Room_Pig_And_Tinder_Box/part_03.md | blocks 2466 | 74m | 33 blk/min | 4 links to repair
[104/2685] ok Authors/Dickens/Atomized/A_Childs_History_of_England/Story_02_Great_Room_Pig_And_Tinder_Box/part_02.md | blocks 2488 | 74m | 33 blk/min | 7 links to repair
[105/2685] ok Authors/Dickens/Atomized/A_Childs_History_of_England/Story_02_Great_Room_Pig_And_Tinder_Box/part_01.md | blocks 2499 | 76m | 33 blk/min | 8 links to repair
[106/2685] ok Authors/Dickens/Atomized/A_Childs_History_of_England/Story_03_Hay_Loft_Original_Pig/part_03.md | blocks 2522 | 76m | 33 blk/min | 6 links to repair
[107/2685] ok Authors/Dickens/Atomized/A_Childs_History_of_England/Story_03_Hay_Loft_Original_Pig/part_01.md | blocks 2542 | 77m | 33 blk/min | 13 links to repair
[108/2685] ok Authors/Dickens/Atomized/A_Childs_History_of_England/Story_03_Hay_Loft_Original_Pig/part_04.md | blocks 2566 | 78m | 33 blk/min | 10 links to repair
[109/2685] ok Authors/Dickens/Atomized/A_Childs_History_of_England/Story_03_Hay_Loft_Original_Pig/part_02.md | blocks 2581 | 78m | 33 blk/min | 16 links to repair
[110/2685] ok Authors/Dickens/Atomized/A_Childs_History_of_England/Story_03_Hay_Loft_Original_Pig/part_05.md | blocks 2608 | 80m | 33 blk/min | 10 links to repair
[111/2685] ok Authors/Dickens/Atomized/A_Childs_History_of_England/Story_04_Front_Parlour_Black_Boy_And_Stomach_Ache.md | blocks 2626 | 81m | 33 blk/min | 6 links to repair
[112/2685] ok Authors/Dickens/Atomized/A_Childs_History_of_England/Story_05_Large_Room_Boot_Jack_And_Countenance.md | blocks 2658 | 81m | 33 blk/min | 10 links to repair
[113/2685] ok Authors/Dickens/Atomized/A_Childs_History_of_England/Story_07_The_Pantomime_Of_Life/part_01.md | blocks 2667 | 83m | 32 blk/min | 15 links to repair
[114/2685] ok Authors/Dickens/Atomized/A_Childs_History_of_England/Story_07_The_Pantomime_Of_Life/part_02.md | blocks 2676 | 83m | 32 blk/min | 13 links to repair
[115/2685] ok Authors/Dickens/Atomized/A_Childs_History_of_England/Story_07_The_Pantomime_Of_Life/part_03.md | blocks 2685 | 84m | 32 blk/min | 12 links to repair
[116/2685] ok Authors/Dickens/Atomized/A_Childs_History_of_England/Story_06_Bar_Room_Black_Boy_And_Stomach_Ache.md | blocks 2706 | 84m | 32 blk/min | 8 links to repair
[117/2685] ok Authors/Dickens/Atomized/A_Childs_History_of_England/Story_07_The_Pantomime_Of_Life/part_04.md | blocks 2720 | 86m | 32 blk/min | 12 links to repair
[118/2685] ok Authors/Dickens/Atomized/A_Childs_History_of_England/Story_07_The_Pantomime_Of_Life/part_06.md | blocks 2737 | 86m | 32 blk/min | 12 links to repair
[119/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_01.md | blocks 2742 | 86m | 32 blk/min
[120/2685] ok Authors/Dickens/Atomized/A_Childs_History_of_England/Story_07_The_Pantomime_Of_Life/part_05.md | blocks 2750 | 86m | 32 blk/min | 11 links to repair
[121/2685] ok Authors/Dickens/Atomized/A_Childs_History_of_England/Story_07_The_Pantomime_Of_Life/part_07.md | blocks 2770 | 87m | 32 blk/min | 25 links to repair
[122/2685] ok Authors/Dickens/Atomized/A_Childs_History_of_England/Story_07_The_Pantomime_Of_Life/part_08.md | blocks 2778 | 88m | 32 blk/min | 8 links to repair
[123/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_02/part_01.md | blocks 2785 | 88m | 31 blk/min | 12 links to repair
[124/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_02/part_03.md | blocks 2792 | 90m | 31 blk/min | 20 links to repair
[125/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_02/part_02.md | blocks 2799 | 90m | 31 blk/min | 16 links to repair
[126/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_03/part_01.md | blocks 2808 | 91m | 31 blk/min | 27 links to repair
[127/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_03/part_02.md | blocks 2816 | 91m | 31 blk/min | 19 links to repair
[128/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_03/part_06.md | blocks 2833 | 92m | 31 blk/min | 7 links to repair
[129/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_03/part_03.md | blocks 2840 | 94m | 30 blk/min | 21 links to repair
[130/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_03/part_05.md | blocks 2848 | 94m | 30 blk/min | 4 links to repair
[131/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_03/part_04.md | blocks 2855 | 95m | 30 blk/min | 18 links to repair
[132/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_04/part_01.md | blocks 2866 | 96m | 30 blk/min | 13 links to repair
[133/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_04/part_02.md | blocks 2874 | 97m | 30 blk/min | 9 links to repair
[134/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_04/part_03.md | blocks 2887 | 97m | 30 blk/min | 12 links to repair
[135/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_04/part_04.md | blocks 2903 | 98m | 30 blk/min | 4 links to repair
[136/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_04/part_05.md | blocks 2918 | 98m | 30 blk/min | 3 links to repair
[137/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_04/part_06.md | blocks 2936 | 100m | 29 blk/min | 9 links to repair
[138/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_04/part_07.md | blocks 2951 | 100m | 30 blk/min | 4 links to repair
[139/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_04/part_09.md | blocks 2963 | 101m | 29 blk/min | 11 links to repair
[140/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_04/part_08.md | blocks 2976 | 101m | 29 blk/min | 12 links to repair
[141/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_04/part_10.md | blocks 2987 | 103m | 29 blk/min | 18 links to repair
[142/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_04/part_11.md | blocks 2996 | 103m | 29 blk/min | 18 links to repair
[143/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_04/part_14.md | blocks 3004 | 105m | 29 blk/min | 4 links to repair
[144/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_04/part_12.md | blocks 3013 | 105m | 29 blk/min | 25 links to repair
[145/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_05/part_01.md | blocks 3024 | 106m | 29 blk/min | 19 links to repair
[146/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_04/part_13.md | blocks 3031 | 106m | 29 blk/min | 11 links to repair
[147/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_05/part_02.md | blocks 3039 | 108m | 28 blk/min | 18 links to repair
[148/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_06/part_02.md | blocks 3077 | 109m | 28 blk/min | 16 links to repair
[149/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_05/part_03.md | blocks 3090 | 109m | 28 blk/min | 8 links to repair
[150/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_06/part_01.md | blocks 3099 | 110m | 28 blk/min | 27 links to repair
[151/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_07/part_02.md | blocks 3143 | 112m | 28 blk/min | 18 links to repair
[152/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_06/part_03.md | blocks 3163 | 112m | 28 blk/min | 37 links to repair
[153/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_07/part_01.md | blocks 3172 | 112m | 28 blk/min | 17 links to repair
[154/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_07/part_03.md | blocks 3186 | 115m | 28 blk/min | 21 links to repair
[155/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_07/part_04.md | blocks 3196 | 115m | 28 blk/min | 18 links to repair
[156/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_07/part_05.md | blocks 3210 | 115m | 28 blk/min | 20 links to repair
[157/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_07/part_06.md | blocks 3222 | 117m | 28 blk/min | 9 links to repair
[158/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_07/part_07.md | blocks 3230 | 117m | 28 blk/min | 12 links to repair
[159/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_08/part_04.md | blocks 3248 | 119m | 27 blk/min | 8 links to repair
[160/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_08/part_03.md | blocks 3260 | 120m | 27 blk/min | 9 links to repair
[161/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_08/part_01.md | blocks 3274 | 120m | 27 blk/min | 18 links to repair
[162/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_08/part_02.md | blocks 3285 | 120m | 27 blk/min | 18 links to repair
[163/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_08/part_06.md | blocks 3293 | 122m | 27 blk/min | 9 links to repair
[164/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_09/part_02.md | blocks 3302 | 123m | 27 blk/min | 25 links to repair
[165/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_08/part_05.md | blocks 3315 | 124m | 27 blk/min | 13 links to repair
[166/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_09/part_01.md | blocks 3326 | 124m | 27 blk/min | 20 links to repair
[167/2685] ok Authors/Dickens/Atomized/American_Notes/Chapter_09/part_03.md | blocks 3336 | 125m | 27 blk/min | 15 links to repair
